timestamp,RSSI,LQI,Ax,Ay,Az,Gx,Gy,Gz,Time
1720505956,-8,108,0,0,0,0,0,0,8:19:16
1720505956,8,112,-7,-23,1022,14,-49,0,8:19:16
1720505956,24,116,-4,-25,1025,14,-37,-6,8:19:16
1720505956,24,116,0,-27,1023,13,-33,-7,8:19:16
1720505956,24,116,-6,-26,1025,13,-38,-58,8:19:16
1720505956,24,116,0,-27,1029,12,-42,-5,8:19:16
1720505956,8,112,-8,-8,1029,14,-24,-451,8:19:16
1720505956,8,112,-13,-26,1025,12,-39,-1,8:19:16
1720505957,8,112,-8,-23,1030,17,5,-1,8:19:17
1720505957,-24,104,-4,-29,1028,5,-87,2,8:19:17
1720505957,-8,108,-7,-26,1029,8,-52,-6,8:19:17
1720505957,-8,108,-6,-27,1027,9,-46,-3,8:19:17
1720505957,8,112,-6,-24,1029,10,-42,-1387,8:19:17
1720505957,8,112,-15,-31,1029,14,-32,-1252,8:19:17
1720505957,8,112,-9,-33,1020,18,-54,3,8:19:17
1720505957,24,116,-13,-27,1032,3,-73,-1225017,8:19:17
1720505957,-8,108,4,-41,1036,21,-18,-28,8:19:17
1720505957,72,64,-8,-34,1024,6,-38,-9,8:19:17
1720505958,72,128,-13,-19,1024,10,-66,-76,8:19:18
1720505958,-56,96,-2,-30,1052,12,-48,-4,8:19:18
1720505958,8,112,-1,-31,1044,11,-43,-5,8:19:18
1720505958,8,112,15,-62,1019,9,-45,-45,8:19:18
1720505958,-136,76,-3,-72,1066,21,-22,-5,8:19:18
1720505958,-40,100,20,-49,1008,5,-52,-3,8:19:18
1720505958,56,124,1,-27,1003,12,-40,-34,8:19:18
1720505958,56,124,2,-28,1029,11,-41,-31,8:19:18
1720505958,40,120,5,-30,1025,11,-42,-21,8:19:18
1720505958,8,112,4,-30,1024,11,-41,-3,8:19:18
1720505959,72,128,3,-29,1026,11,-41,-37,8:19:19
1720505959,-8,108,5,-30,1025,11,-42,-3,8:19:19
1720505959,24,116,5,-30,1024,11,-42,-30,8:19:19
1720505959,-8,108,4,-30,1025,11,-41,-30,8:19:19
1720505959,-24,104,4,-30,1025,11,-41,-37,8:19:19
1720505959,-40,100,4,-30,1025,11,-41,-35,8:19:19
1720505959,-56,96,4,-30,1025,11,-41,-30,8:19:19
1720505959,-88,88,4,-30,1025,11,-42,-3,8:19:19
1720505959,-168,68,4,-30,1025,12,-41,-3,8:19:19
1720505959,40,56,4,-30,1024,11,-42,-32,8:19:19
1720505960,40,56,5,-30,1025,11,-41,-24,8:19:20
1720505960,24,52,4,-30,1027,11,-41,-3,8:19:20
1720505960,56,60,3,-30,1026,11,-42,-30,8:19:20
1720505960,-168,68,4,-30,1025,11,-41,-2,8:19:20
1720505960,56,60,5,-30,1025,11,-41,-3,8:19:20
1720505960,-168,68,4,-30,1024,10,-42,-34,8:19:20
1720505960,-120,80,4,-30,1024,11,-42,-32,8:19:20
1720505960,-56,96,4,-30,1025,11,-41,-38,8:19:20
1720505960,-56,96,5,-30,1025,11,-41,-3,8:19:20
1720505960,-88,88,5,-30,1024,11,-42,-4,8:19:20
1720505961,-104,84,4,-30,1025,11,-41,-32,8:19:21
1720505961,-72,92,4,-31,1026,11,-41,-3,8:19:21
1720505961,8,112,5,-29,1024,11,-41,-3,8:19:21
1720505961,-8,108,5,-30,1025,11,-42,-3,8:19:21
1720505961,-24,104,4,-31,1023,11,-41,-3,8:19:21
1720505961,-8,108,4,-30,1025,11,-41,-33,8:19:21
1720505961,8,112,4,-30,1025,11,-41,-39,8:19:21
1720505961,8,112,6,-31,1026,11,-41,-36,8:19:21
1720505961,24,116,4,-29,1025,11,-41,-3,8:19:21
1720505961,40,120,5,-31,1025,11,-41,-3,8:19:21
1720505962,40,120,5,-30,1026,11,-41,-3,8:19:22
1720505962,56,124,4,-31,1025,11,-42,-33,8:19:22
1720505962,40,120,5,-29,1025,11,-41,-28,8:19:22
1720505962,56,124,5,-29,1025,11,-41,-31,8:19:22
1720505962,56,124,4,-31,1026,11,-41,-3,8:19:22
1720505962,56,124,4,-29,1025,11,-41,-36,8:19:22
1720505962,40,120,5,-31,1025,11,-41,-35,8:19:22
1720505962,24,116,4,-30,1025,11,-42,-3,8:19:22
1720505962,24,116,5,-30,1024,11,-41,-3,8:19:22
1720505962,24,116,5,-30,1025,11,-41,-33,8:19:22
1720505963,24,116,6,-30,1024,11,-41,-3,8:19:23
1720505963,24,116,5,-30,1025,12,-42,-35,8:19:23
1720505963,24,116,5,-31,1024,12,-41,-3,8:19:23
1720505963,24,116,4,-30,1025,11,-42,-3,8:19:23
