Timestamp,RSSI,LQI,Ax,Ay,Az,Gx,Gy,Gz,Time
1720505940,40,56,-73,-149,1013,22,-67,-25,8:19:00
1720505940,72,64,-73,-148,1018,22,-67,-25,8:19:00
1720505940,56,60,-72,-148,1013,23,-67,-25,8:19:00
1720505940,40,56,-72,-148,1014,23,-67,-24,8:19:00
1720505940,40,56,-72,-149,1013,23,-67,-24,8:19:00
1720505940,40,56,-73,-149,1011,22,-67,-25,8:19:00
1720505940,72,64,-72,-149,1014,22,-67,-29,8:19:00
1720505940,-168,68,-72,-149,1014,23,-67,-2,8:19:00
1720505940,-136,76,-73,-152,1008,23,-67,-2,8:19:00
1720505940,-152,72,-71,-149,1013,22,-67,-2,8:19:00
1720505940,-152,72,-72,-149,1013,23,-67,-2,8:19:00
1720505940,-152,72,-72,-149,1014,23,-67,-2,8:19:00
1720505940,-152,72,-73,-149,1011,23,-67,-2,8:19:00
1720505940,-152,72,-72,-149,1013,22,-66,-2,8:19:00
1720505940,-136,76,-72,-149,1014,22,-67,-20,8:19:00
1720505940,-136,76,-72,-149,1010,23,-67,-2,8:19:00
1720505941,-136,76,-72,-149,1012,23,-67,-29,8:19:01
1720505941,-136,76,-71,-149,1014,23,-67,-29,8:19:01
1720505941,-136,76,-72,-149,1012,23,-68,-29,8:19:01
1720505941,-152,72,-74,-148,1012,23,-67,-29,8:19:01
1720505941,-136,76,-72,-149,1012,23,-68,-29,8:19:01
1720505941,-136,76,-73,-148,1012,23,-68,-29,8:19:01
1720505941,-120,80,-73,-149,1012,23,-67,-29,8:19:01
1720505941,-120,80,-73,-148,1011,23,-67,-25,8:19:01
1720505941,-120,80,-71,-150,1014,23,-68,-25,8:19:01
1720505941,-104,84,-71,-149,1014,24,-67,-25,8:19:01
1720505942,-72,92,-72,-149,1011,22,-67,-25,8:19:02
1720505942,-40,100,-72,-150,1012,22,-67,-25,8:19:02
1720505942,-56,96,-71,-148,1012,22,-67,-25,8:19:02
1720505942,-24,104,-72,-149,1013,23,-67,-27,8:19:02
1720505942,-88,88,-71,-150,1013,23,-67,-21,8:19:02
1720505942,-72,92,-74,-149,1012,23,-67,-21,8:19:02
1720505942,-136,76,-70,-149,1015,25,-68,-37,8:19:02
1720505942,-72,92,-73,-148,1016,22,-67,-27,8:19:02
1720505942,-88,88,-72,-149,1013,22,-67,-27,8:19:02
1720505942,-136,76,-72,-149,1009,21,-66,-27,8:19:02
1720505943,-40,100,-71,-148,1014,24,-67,-27,8:19:03
1720505943,-72,92,-73,-149,1015,23,-67,-27,8:19:03
1720505943,-136,76,-71,-148,1013,24,-67,-23,8:19:03
1720505943,-24,104,-73,-149,1010,22,-67,-23,8:19:03
1720505943,-136,76,-72,-149,1016,24,-68,-29,8:19:03
1720505943,-72,92,-71,-148,1013,23,-67,-29,8:19:03
1720505943,-72,92,-73,-149,1012,22,-66,-29,8:19:03
1720505943,-72,92,-73,-148,1014,23,-67,-29,8:19:03
1720505943,-72,92,-72,-149,1011,24,-67,-29,8:19:03
1720505943,-56,96,-71,-149,1013,23,-67,-32,8:19:03
1720505944,-40,100,-71,-148,1012,23,-67,-22,8:19:04
